,date,fake_merged,fake_merged_initiation,fake_merged_rt,fake_grinberg_initiation,fake_grinberg_rt,fake_grinberg_rb_initiation,fake_grinberg_rb_rt,fake_newsguard_initiation,fake_newsguard_rt,not_fake,not_fake_initiation,not_fake_rt,not_fake_conservative,not_fake_conservative_initiation,not_fake_conservative_rt,not_fake_liberal,not_fake_liberal_initiation,not_fake_liberal_rt,not_fake_shopping,not_fake_shopping_initiation,not_fake_shopping_rt,not_fake_sports,not_fake_sports_initiation,not_fake_sports_rt,n,nusers,subsets
81,2019-12-05,356.0,127.0,229.0,52.0,71.0,33.0,32.0,124.0,206.0,10594.0,2909.0,7685.0,310.0,85.0,225.0,1164.0,256.0,908.0,24.0,8.0,16.0,18.0,7.0,11.0,10950.0,1074,F_ha
82,2019-12-05,51.0,25.0,26.0,9.0,9.0,0.0,5.0,25.0,23.0,1126.0,502.0,624.0,65.0,31.0,34.0,83.0,29.0,54.0,12.0,9.0,3.0,2.0,1.0,1.0,1177.0,392,F_la
83,2019-12-05,176.0,81.0,95.0,11.0,25.0,4.0,6.0,75.0,83.0,11710.0,5342.0,6368.0,328.0,140.0,188.0,1179.0,386.0,793.0,62.0,42.0,20.0,26.0,8.0,18.0,11886.0,3900,F_ma
84,2019-12-05,34.0,24.0,10.0,4.0,3.0,3.0,2.0,22.0,10.0,13512.0,7463.0,6049.0,439.0,172.0,267.0,517.0,152.0,365.0,717.0,450.0,267.0,68.0,30.0,38.0,13546.0,1847,nfns_ha
85,2019-12-05,24.0,17.0,7.0,1.0,0.0,0.0,0.0,17.0,7.0,7984.0,5110.0,2874.0,336.0,196.0,140.0,368.0,133.0,235.0,81.0,42.0,39.0,17.0,4.0,13.0,8008.0,4200,nfns_la
86,2019-12-05,248.0,166.0,82.0,32.0,15.0,18.0,2.0,147.0,75.0,100274.0,65271.0,35003.0,3517.0,2058.0,1459.0,4267.0,1540.0,2727.0,1552.0,994.0,558.0,216.0,69.0,147.0,100522.0,51593,nfns_ma
87,2019-12-05,374.0,19.0,355.0,11.0,153.0,6.0,88.0,17.0,309.0,971.0,265.0,706.0,175.0,36.0,139.0,17.0,10.0,7.0,3.0,2.0,1.0,1.0,1.0,0.0,1345.0,122,suspended_ha
88,2019-12-05,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,26.0,22.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,10,suspended_la
89,2019-12-05,106.0,28.0,78.0,14.0,28.0,11.0,14.0,25.0,70.0,450.0,256.0,194.0,54.0,28.0,26.0,5.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,556.0,154,suspended_ma
90,2019-12-06,62.0,22.0,40.0,7.0,10.0,1.0,1.0,19.0,38.0,1422.0,680.0,742.0,102.0,49.0,53.0,129.0,64.0,65.0,1.0,0.0,1.0,7.0,2.0,5.0,1484.0,152,A_ha
91,2019-12-06,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80.0,53.0,27.0,6.0,3.0,3.0,5.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,81.0,29,A_la
92,2019-12-06,75.0,21.0,54.0,2.0,17.0,2.0,3.0,21.0,49.0,2808.0,1523.0,1285.0,194.0,91.0,103.0,126.0,46.0,80.0,32.0,29.0,3.0,18.0,8.0,10.0,2883.0,1092,A_ma
93,2019-12-06,2022.0,449.0,1573.0,148.0,631.0,90.0,368.0,432.0,1476.0,14792.0,4742.0,10050.0,1149.0,337.0,812.0,1345.0,261.0,1084.0,106.0,30.0,76.0,6.0,3.0,3.0,16814.0,1346,D_ha
94,2019-12-06,29.0,2.0,27.0,1.0,11.0,0.0,8.0,1.0,26.0,254.0,158.0,96.0,27.0,20.0,7.0,10.0,3.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,283.0,76,D_la
95,2019-12-06,1264.0,314.0,950.0,70.0,343.0,38.0,186.0,307.0,900.0,8665.0,4419.0,4246.0,797.0,347.0,450.0,438.0,184.0,254.0,60.0,30.0,30.0,10.0,7.0,3.0,9929.0,2820,D_ma
96,2019-12-06,261.0,85.0,176.0,40.0,64.0,24.0,29.0,80.0,160.0,10036.0,2623.0,7413.0,309.0,89.0,220.0,1143.0,218.0,925.0,49.0,18.0,31.0,25.0,7.0,18.0,10297.0,1039,F_ha
97,2019-12-06,81.0,31.0,50.0,12.0,18.0,4.0,6.0,31.0,45.0,1063.0,462.0,601.0,68.0,37.0,31.0,108.0,40.0,68.0,16.0,13.0,3.0,1.0,1.0,0.0,1144.0,393,F_la
98,2019-12-06,172.0,66.0,106.0,12.0,40.0,6.0,9.0,66.0,99.0,11077.0,4948.0,6129.0,319.0,160.0,159.0,1129.0,414.0,715.0,102.0,85.0,17.0,12.0,4.0,8.0,11249.0,3731,F_ma
99,2019-12-06,39.0,27.0,12.0,3.0,5.0,2.0,0.0,25.0,10.0,13072.0,6557.0,6515.0,422.0,179.0,243.0,484.0,136.0,348.0,839.0,430.0,409.0,46.0,34.0,12.0,13111.0,1772,nfns_ha
100,2019-12-06,28.0,20.0,8.0,2.0,3.0,2.0,0.0,20.0,7.0,7204.0,4527.0,2677.0,214.0,106.0,108.0,304.0,106.0,198.0,134.0,45.0,89.0,9.0,2.0,7.0,7232.0,3879,nfns_la
101,2019-12-06,250.0,156.0,94.0,22.0,24.0,8.0,6.0,145.0,87.0,94870.0,61475.0,33395.0,3293.0,1976.0,1317.0,4075.0,1549.0,2526.0,1606.0,1020.0,586.0,175.0,52.0,123.0,95120.0,48913,nfns_ma
102,2019-12-06,284.0,16.0,268.0,7.0,112.0,3.0,79.0,15.0,257.0,854.0,254.0,600.0,126.0,32.0,94.0,11.0,3.0,8.0,1.0,0.0,1.0,3.0,3.0,0.0,1138.0,120,suspended_ha
